group,variant,file,prompt,sample,words,sentences,em_dash,neg_parallel,triad,signpost,self_clap,filler_transition,slop_words,bold_label,md_structure,participial_tail,closing_recap,tells,tells_per_1k,questions,staccato_share,sent_mean,sent_stdev,pct_10w_band
astra,bare,essays/astra/p1-essay-1.md,p1-essay,1,437,35,1,2,5,0,0,0,0,0,1,2,0,10,22.9,0,0.03,12.3,5.0,0.63
astra,bare,essays/astra/p1-essay-2.md,p1-essay,2,433,34,1,0,6,0,0,1,0,0,1,0,1,9,20.8,0,0.0,12.6,4.5,0.71
astra,bare,essays/astra/p1-essay-3.md,p1-essay,3,425,32,1,1,8,0,0,0,0,0,1,0,0,10,23.5,0,0.0,13.1,5.2,0.53
astra,bare,essays/astra/p2-launch-1.md,p2-launch,1,165,5,1,0,0,0,0,0,0,4,6,0,0,5,30.3,0,0.0,16.4,8.0,0.6
astra,bare,essays/astra/p2-launch-2.md,p2-launch,2,153,3,1,0,0,0,0,0,0,3,6,0,0,4,26.1,0,0.0,23.3,7.3,0.67
astra,bare,essays/astra/p2-launch-3.md,p2-launch,3,175,4,1,0,0,0,0,0,0,4,6,0,0,5,28.6,0,0.0,21.8,9.7,0.5
astra,bare,essays/astra/p3-linkedin-1.md,p3-linkedin,1,298,20,3,0,0,0,0,0,0,4,4,0,0,7,23.5,1,0.15,11.1,8.1,0.55
astra,bare,essays/astra/p3-linkedin-2.md,p3-linkedin,2,257,24,1,0,1,0,0,0,0,0,4,0,0,2,7.8,1,0.0,9.2,5.3,0.62
astra,bare,essays/astra/p3-linkedin-3.md,p3-linkedin,3,262,24,1,0,3,0,0,0,0,0,3,0,0,4,15.3,1,0.04,10,5.3,0.58
sol,bare,essays/sol/p1-essay-1.md,p1-essay,1,413,32,1,1,6,0,0,0,1,0,1,0,0,9,21.8,0,0.0,12.8,5.2,0.59
sol,bare,essays/sol/p1-essay-2.md,p1-essay,2,420,29,0,1,7,0,0,1,0,0,1,0,1,10,23.8,0,0.0,14.3,5.7,0.55
sol,bare,essays/sol/p1-essay-3.md,p1-essay,3,405,26,2,2,3,0,0,1,0,0,1,0,1,9,22.2,0,0.0,15.4,6.5,0.42
sol,bare,essays/sol/p2-launch-1.md,p2-launch,1,170,7,2,0,1,0,0,0,1,0,6,0,0,4,23.5,1,0.0,16.9,8.0,0.71
sol,bare,essays/sol/p2-launch-2.md,p2-launch,2,177,7,1,0,0,0,0,0,1,0,5,0,0,2,11.3,1,0.0,19,8.0,0.43
sol,bare,essays/sol/p2-launch-3.md,p2-launch,3,176,6,1,0,0,0,0,0,0,0,5,0,0,1,5.7,0,0.0,22.7,7.6,0.5
sol,bare,essays/sol/p3-linkedin-1.md,p3-linkedin,1,281,22,5,0,2,1,0,0,0,0,5,0,0,8,28.5,0,0.14,10.7,6.9,0.55
sol,bare,essays/sol/p3-linkedin-2.md,p3-linkedin,2,254,23,3,0,2,1,0,0,0,0,5,0,0,6,23.6,0,0.04,8.9,3.8,0.65
sol,bare,essays/sol/p3-linkedin-3.md,p3-linkedin,3,280,25,4,1,0,0,0,0,0,1,6,0,0,6,21.4,0,0.12,9.2,5.9,0.56
fable,bare,essays/fable/p1-essay-1.md,p1-essay,1,494,29,5,2,0,0,0,0,0,0,1,0,0,7,14.2,1,0.0,16.9,9.9,0.45
fable,bare,essays/fable/p1-essay-2.md,p1-essay,2,500,36,7,1,3,0,0,0,0,0,1,1,0,12,24.0,0,0.11,13.8,9.5,0.42
fable,bare,essays/fable/p1-essay-3.md,p1-essay,3,527,34,4,2,3,0,0,0,0,0,1,0,0,9,17.1,1,0.0,15.4,7.5,0.35
